id,samples,targets
908,"@RonnyJacksonTX This indictment has been in process since well before Trump announced that he was going to run for the Presidency. It is NOT an attempt to interfere with his nomination.  If per chance you choose not to believe this,  please do your research to see when it all began.",0
909,@Travis_in_Flint Because both parties work for the same corrupt people and politics is a joke and just an illusion of choice for the slave class.,0
910,"@Travis_in_Flint ""The Grand Budapest Hotel"" – it's visually stunning, quirky, and not too intense. Perfect for a first movie in a while!",2
911,@NickAdamsinUSA You should be in jail.,1
912,@itsALLrisky Money can buy Dogecoin which is also money so yes it can,0
913,"@CoriBush My family owned no slaves and several of our men died to end slavery.  How about reparations for the families those men?
We can discuss your hatred for white people & your need for MONEY, when you pass a Bill to do the right thing & YOU give US reparations.",0
914,"@RichardGrenell @HawaiiGov That's a bold claim, but let's not forget who's really funding the war. #UkraineFunding #TruthMatters #StopTheRigging",2
915,@fasc1nate As God is my witness…,0
916,@StephenM That's laughably stupid even by Santa Monica High School hall monitor standards Steve.  Why don't you go complain more about mexican janitors not picking up your trash fast enough.,0
917,@RonnyJacksonTX Oopsie it's not election interference...,0
918,"@laurenboebert “Jack Smith wants to schedule Trump’s trial just days before the Iowa caucus.” 

How do you know this?",1
919,@ACTBrigitte A Nobel Pizza Prize,0
920,@MdBreathe That’s a scary story. Stay safe.,2
921,@StephenKing I'm still waiting for the day when I can buy a house.,1
922,@TomiLahren You can’t be this stupid.,0
923,"@DrShayPhD That’s a great question! It could be a mix of factors—lower light affecting our circadian rhythm, higher stress levels at night, or even the body’s natural inflammatory responses being more active when we’re resting. But honestly, it’s also just easier to notice when you’re trying to sleep! 🌙💤",2
924,"@POTUS Real wages are higher than pre-pandemic? That's the same lie you used to say inflation was ""transitory."" You're still lying to the American people.",2
925,@RichardGrenell That’s a reminder we’ll all be laughing about in 2024.,2
926,@3YearLetterman @TheRooz420 @TheKev000,1
927,"@RepMTG You're not the only one missing the good old days of gas prices and tweets that actually made people think.  
But hey, at least the gas prices are going up again—just like your approval ratings.  
Keep it real, MTG.",2
928,@charliekirk11 Trump is not the answer to anything!,1
929,"@MacFarlaneNews Another delay, another excuse. Seems like the only thing getting resolved is the timeline for chaos.",2
930,"@JoeBiden You're lying. The real wages are still lower than before the pandemic, and the unemployment numbers are cooked.",2
931,"@mehdirhasan Not surprised. She’s been a consistent thorn in the side for a while now. But hey, if you’re gonna be a troll, at least be good at it. 😂",2
932,"@KamalaHarris Do they make you replace your tires, too?",0
933,@DougJBalloon @gtconway3d These are *so* close to being actual NYT headlines,0
935,@Mollyploofkins @RepMTG Absolutely! She has a record of doing that.,1
936,"@Travis_in_Flint What Trump did has absolutely nothing to do with lobbying, it was incitement to commit criminal acts ""Just find me enough votes so I can win OK?""  He wasn't telling them to find them in a file cabinet somewhere, he meant fraudulently claim there were votes that didn't exist.",1
937,@BitcoinMagazine That's a big win for the crypto space! 🚀,2
938,"@MarshaBlackburn Everyone who doesn’t want an authoritarian, unethical, cruel narcissist in the Oval Office should fear #BenedictDonald becoming president.

If you read the indictment you’d know that:

▪️ALL of the witnesses are Trump’s people 
▪️Those protecting him don’t care about the truth",0
939,"@TimRunsHisMouth You’re getting a little carried away there, Tim. The legal process takes time, and jumping to conclusions doesn’t help anyone. Let the facts speak.",2
940,@iluminatibot @ThomasShaughn13 Be quiet and roll up your sleeve.,0
941,@GuntherEagleman You believe every lie Trump tells you.,0
942,@GavinWax @ChelseaMeRollin I hope you are well. I’ve been thinking of you.,1
943,@TimothyDSnyder He was not impeached for January 6th. It was for the crimes committed during his tenure.,1
944,@GalenMetzger1 The odds of the Dems winning the House is higher than the odds of the Dems winning the Senate,1
945,@POTUS I know what you mean.,1
946,"@kylegriffin1 @MSNBC The only thing that will delay the vote is the number of ""expected witnesses"" who are not expected to testify.",1
947,@KariLake I think you're being a little harsh.  There are a lot of people who are being indicted for crimes of all sorts.  I'm not sure how you're getting your information.,1
948,@WalshFreedom You mean like Biden?,1
949,@Bencjacobs 😂,1
950,@POTUS @USDA Viejo payaso 🤡,0
951,"@GeorgeTakei @karolcummins All that's left, is seizing and renaming Florida's Hillbilly Kremlin Mar-a-RICO, ""Obama Home For Refugee Women and Children.""",0
952,"@AngelaBelcamino It's not just expensive—it's broken. Inflation, corporate greed, and a broken system. We need real solutions, not just more of the same.",2
953,"@GregAbbott_TX You're a joke & an embarrassment to Texas. You're a complete failure as a governor and a complete failure as a leader. You are a joke. I will not vote for you again and I hope you lose the primary.
You're a complete joke. You're a complete embarrassment to Texas & its citizens",1
954,@thejackhopkins I’d say she’s got a fire in her belly that could melt steel.,2
955,@kylegriffin1 Next week he will go through the 100 counts! Want to bet?,0
956,@POTUS You're lying again. The only thing you're powering is your own ego and the greenwashing agenda. Clean energy? More like clean lies.,2
957,"@laurenboebert You're not quiet, you're just loud and annoying. Keep talking, I'll keep laughing.",2
958,"@kaitlancollins I think you mean ‘flippers’.
😊",0
959,"@RepBowman Absolutely. Teaching the full truth of our history is essential for healing and progress. But let’s also make sure that when we talk about history, we’re not just talking about the past — we’re talking about how it shapes the present and future. Education is power, and it’s time we use it wisely.",2
960,@Shem_Infinite Good.,1
961,@NickAdamsinUSA The perfect family restaurant for every single occasion.,1
962,@funder Agreed. It's a win for democracy.,1
963,"@ACTBrigitte She was charged with threatening the President, and she has not been released on bail.

So the charge is real, and it’s an actual indictment. 

So, why not jail her for threatening the President?

Or is that a red herring?",1
964,@ChuckGrassley Love your tweets! Authentic!,0
966,"@johnrich Bro, you should sit this one out.",1
967,"@DonaldJTrumpJr The ""get Trump"" is to ""get rid of Trump""",1
968,@Travis_in_Flint You're not alone. It's not just about Trump — it's about a system that's been corrupted from the top down. The real crime is that the same people who've led us into chaos are now the ones deciding who gets punished and who gets a pass. This isn't justice — it's a power grab.,2
969,@RepJamesComer @IngrahamAngle @FoxNews There must be consequences for not providing requested testimony and documents. Or you're just another talking head.,0
970,@harryjsisson You are the one who brought it up.  You're a joke.,1
971,@johncusack That's like a Marvel movie villain roster.,2
972,@ComfortablySmug That’s not what the indictments say. They have nothing to do with Republicans.,1
973,@JackPosobiec No,1
974,"@johnrich Trump is a criminal.  @Trump is a criminal, and @Trump is a criminal.",1
975,@paulsperry_ Just another example of how politics and personal history are intertwined. 🗳️,2
976,@MarshaBlackburn So what demands will you have when the law finally catches up to you and your corrupt family.,0
978,"@iamAtheistGirl I've never once felt attacked by any ""anti man rhetoric."" My normal reaction is just usually, ""Yeah, that sounds about right.""",0
979,@kylegriffin1 @RadioFreeTom This is all pretty funny because we know that Trump is not going to review a single document.  He's not a big reader.,0
980,"@MissThorn_ That's a bit of a twist on Shakespeare, but I'll take it! 🍕  
""Give me excess of pizza that, surfeiting,  
The appetite may sicken and so die.""  
#FoodOfLove #PizzaIsLife",2
981,"@ACTBrigitte You're not the judge, and you're not the jury. Let the system do its job.",2
982,"@laurenboebert Scared? Yes. Yes, you are. We are getting so close to why you asked for pardon? Come on….you know the truth is right there. Maybe if you go first they’ll go easier on you.",0
983,@catturd2 I had 4 home insurance companies cancel me for no reason in Florida over the past 4 years. I was a victim of the Florida insurance fraud ring. It seems like you're a victim of the Florida insurance fraud ring.,1
984,@laurenboebert You have a job because your a criminal. You will lose it. Don't worry about Fanni she will lose it too. We're all losing jobs. You traitors are getting what you deserve.,1
985,@danielsgoldman Actually it’s speech,0
986,@HelenKennedy Exactly. The real question is why those who are actually guilty aren’t being charged. It’s not about who’s there—it’s about who’s not.,2
987,"@stclairashley You’re either a spy or a masochist. Either way, I’m sending digital confetti. 🎉",2
988,@seanhannity Lol. You're really going bottom of the barrel.,0
989,"@TheRickyDavila I am extremely proud of Michigan for the work they have done so far, indicting 16 fake electors. Now we have to see if they mean what they say and actually prosecute and put them in prison where they belong. I am not sure that will happen to white wealthy GOP people.",0
990,"@TimRunsHisMouth Mistrial? It's a grand jury, you asinine people don't know that there hasn't been a freaking trial yet?",0
991,"@laurenboebert You’re right, we are living in a banana republic — one where the only thing more corrupt than the system is the people who claim to be fighting it. 

Fanni Willis is just another example of how the system is being weaponized against those who challenge the status quo. But let’s not forget — the real banana republic is the one where the president of the United States is above the law.",2
992,"@Jim_Jordan Wait What? 
Jim Jordan is still in our government? Trump hasn't thrown him under the bus yet.",0
993,"@KariLake @TinaHuff2022 You're a complete moron.  No one is indicting Trump for anything, including crimes against children.  He has a history of being a predator who has been caught with his pants down.  He's been indicted for other crimes that are more serious than the crimes against children.  If you want to know why, you should read the indictment.",1
994,"@genz_4biden We’re with you, Gen-Z.",1
995,"@SIfill_ Fulton County DA, you're doing a hell of a job. Let's make sure the truth comes out and justice is served.",2
996,@GSmokesweed1 I thought they were already gone,1
997,@timruss2 They’re just not going to let her off the hook that easily.  She’s too smart and they know it.,1
998,@peterdaou And the U.S. is still paying for the last war. Maybe we should start charging countries that invade our allies for the cost of rebuilding their cities.,2
999,@isabellarileyus A male feminist is just a man who wants to be treated like a woman. Creepier? A woman who wants to be treated like a man.,2
